,NAME,TEAM,SALARY
131,"Chet Holmgren, PF",Oklahoma City Thunder,"$9,891,240"
132,"De'Andre Hunter, SF",Atlanta Hawks,"$9,835,881"
133,"Larry Nance Jr., PF",New Orleans Pelicans,"$9,672,727"
134,"Ja Morant, PG",Memphis Grizzlies,"$9,603,360"
135,"James Wiseman, C",Detroit Pistons,"$9,603,360"
136,"Landry Shamet, SG",Phoenix Suns,"$9,500,000"
137,"Malik Monk, SG",Sacramento Kings,"$9,472,219"
138,"Jalen Green, SG",Houston Rockets,"$9,441,840"
139,"Jakob Poeltl, C",Toronto Raptors,"$9,398,148"
140,"Nerlens Noel, C",Brooklyn Nets,"$9,240,000"
141,"Dario Saric, PF",Oklahoma City Thunder,"$9,240,000"
142,"Royce O'Neale, PF",Brooklyn Nets,"$9,200,000"
143,"Monte Morris, PG",Washington Wizards,"$9,125,000"
144,"Mason Plumlee, C",LA Clippers,"$9,080,417"
145,"Alex Caruso, SG",Chicago Bulls,"$9,030,000"
146,"Maxi Kleber, PF",Dallas Mavericks,"$9,000,000"
147,"Darius Garland, PG",Cleveland Cavaliers,"$8,920,795"
148,"Jabari Smith Jr., PF",Houston Rockets,"$8,882,640"
149,"Kyle Anderson, SF",Minnesota Timberwolves,"$8,780,488"
150,"Victor Oladipo, SG",Miami Heat,"$8,750,000"
151,"Daniel Theis, C",Indiana Pacers,"$8,694,369"
152,"LaMelo Ball, PG",Charlotte Hornets,"$8,623,920"
153,"Grayson Allen, SG",Milwaukee Bucks,"$8,500,000"
154,"Nic Claxton, C",Brooklyn Nets,"$8,500,000"
155,"Seth Curry, SG",Brooklyn Nets,"$8,496,500"
156,"Evan Mobley, PF",Cleveland Cavaliers,"$8,478,720"
157,"Gary Payton II, SG",Golden State Warriors,"$8,300,000"
158,"De'Anthony Melton, SG",Philadelphia 76ers,"$8,250,000"
159,"T.J. McConnell, PG",Indiana Pacers,"$8,100,000"
160,"Keegan Murray, SF",Sacramento Kings,"$8,008,440"
161,"Thaddeus Young, F",Toronto Raptors,"$8,000,000"
162,"Taurean Prince, PF",Minnesota Timberwolves,"$8,000,000"
163,"Kevon Looney, F",Golden State Warriors,"$8,000,000"
164,"Isaiah Hartenstein, C",New York Knicks,"$7,804,879"
165,"Delon Wright, SG",Washington Wizards,"$7,804,878"
166,"Patrick Williams, PF",Chicago Bulls,"$7,775,400"
167,"Scottie Barnes, SF",Toronto Raptors,"$7,644,720"
168,"Cedi Osman, SF",Cleveland Cavaliers,"$7,426,088"
169,"Coby White, PG",Chicago Bulls,"$7,413,955"
170,"Aron Baynes, C",Toronto Raptors,"$7,350,000"
171,"Zach Collins, PF",San Antonio Spurs,"$7,350,000"
172,"Jaden Ivey, PG",Detroit Pistons,"$7,252,200"
173,"Jae'Sean Tate, SF",Houston Rockets,"$7,065,217"
174,"Isaac Okoro, SF",Cleveland Cavaliers,"$7,040,880"
175,"Cody Martin, SF",Charlotte Hornets,"$7,000,000"
176,"Jalen Suggs, SG",Orlando Magic,"$6,922,320"
177,"Jaxson Hayes, C",New Orleans Pelicans,"$6,803,012"
178,"Khem Birch, C",Toronto Raptors,"$6,667,500"
179,"Bennedict Mathurin, SG",Indiana Pacers,"$6,586,800"
180,"Bruce Brown, SF",Denver Nuggets,"$6,479,000"
