,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
185,186,Carlos Delfino,MIL,49,1590,565,200,513,39.0,105,284,37.0,60,75,80.0,24,176,200,112,76,8,57,72,576,1.97,1.33
186,186,Evan Turner,PHI,78,1797,565,225,529,42.5,14,44,31.8,101,125,80.8,42,264,306,159,49,14,80,138,685,1.99,0.61
187,188,Joakim Noah,CHI,48,1576,561,211,402,52.5,0,1,0.0,139,188,73.9,182,316,498,107,48,72,90,156,956,1.19,0.53
188,189,Francisco Garcia,SAC,58,1386,560,207,475,43.6,81,224,36.2,65,76,85.5,24,109,133,71,51,49,45,126,540,1.58,1.13
189,190,Derek Fisher,LAL,82,2297,558,206,529,38.9,63,159,39.6,83,103,80.6,14,138,152,224,99,8,70,192,628,3.2,1.41
190,191,Corey Brewer,DAL,69,1510,552,193,488,39.5,30,112,26.8,136,192,70.8,57,118,175,89,100,16,87,159,494,1.02,1.15
191,192,Ryan Gomes,LAC,76,2095,547,207,505,41.0,72,211,34.1,61,85,71.8,61,193,254,118,62,12,55,159,616,2.15,1.13
192,193,Sonny Weems,TOR,59,1413,545,228,513,44.4,17,61,27.9,72,94,76.6,39,114,153,104,34,2,86,87,445,1.21,0.4
193,194,Eric Bledsoe,LAC,81,1841,543,206,486,42.4,32,116,27.6,99,133,74.4,68,155,223,289,92,26,194,130,665,1.49,0.47
194,195,Raja Bell,UTA,68,2097,541,191,467,40.9,68,193,35.2,91,102,89.2,31,145,176,118,56,14,63,169,555,1.87,0.89
195,196,Austin Daye,DET,72,1446,537,193,471,41.0,69,172,40.1,82,108,75.9,64,210,274,78,39,39,59,165,604,1.32,0.66
196,197,Nazr Mohammed,OKC,75,1280,535,234,448,52.2,0,1,0.0,67,112,59.8,140,228,368,23,30,56,70,184,683,0.33,0.43
197,198,Derrick Favors,UTA,78,1536,533,215,416,51.7,0,0,0.0,103,173,59.5,171,241,412,39,29,68,77,246,733,0.51,0.38
198,198,Josh McRoberts,IND,72,1597,533,211,386,54.7,23,60,38.3,88,119,73.9,109,273,382,150,47,57,93,165,870,1.61,0.51
199,200,Luc Mbah a Moute,MIL,79,2093,529,198,428,46.3,0,7,0.0,133,188,70.7,169,251,420,68,72,28,77,180,755,0.88,0.94
200,201,Al Thornton,GSW,71,1384,524,205,431,47.6,4,26,15.4,110,142,77.5,56,157,213,62,35,12,64,143,524,0.97,0.55
201,201,Kwame Brown,CHA,66,1714,524,194,375,51.7,0,0,0.0,136,231,58.9,147,303,450,43,26,39,69,174,737,0.62,0.38
202,203,Goran Dragic,HOU,70,1234,523,192,441,43.5,56,155,36.1,83,133,62.4,36,106,142,204,50,10,117,125,513,1.74,0.43
203,204,Ronnie Brewer,CHI,81,1781,503,205,427,48.0,6,27,22.2,87,133,65.4,55,207,262,140,106,22,55,82,710,2.54,1.93
204,205,Ed Davis,TOR,65,1602,501,215,373,57.6,0,0,0.0,71,128,55.5,168,294,462,40,39,67,48,183,846,0.83,0.81
205,206,Jordan Crawford,WAS,42,1027,490,192,500,38.4,33,128,25.8,73,84,86.9,31,74,105,117,39,3,83,63,352,1.41,0.47
206,207,Dante Cunningham,CHA,78,1637,482,218,472,46.2,1,13,7.7,45,62,72.6,96,181,277,43,54,43,51,177,577,0.84,1.06
207,207,Will Bynum,DET,61,1125,482,182,406,44.8,16,50,32.0,102,122,83.6,15,59,74,195,52,4,83,113,480,2.35,0.63
208,209,Matt Bonner,SAS,66,1432,481,172,371,46.4,105,230,45.7,32,43,74.4,60,179,239,60,26,21,27,110,590,2.22,0.96
209,210,Shaun Livingston,CHA,73,1261,479,185,397,46.6,1,4,25.0,108,125,86.4,29,120,149,164,47,29,88,109,551,1.86,0.53
210,211,Paul George,IND,61,1265,476,179,395,45.3,41,138,29.7,77,101,76.2,37,187,224,65,62,26,70,127,543,0.93,0.89
211,212,James Jones,MIA,81,1549,475,146,346,42.2,123,287,42.9,60,72,83.3,23,137,160,43,29,19,21,129,493,2.05,1.38
212,213,Maurice Evans,WAS,73,1549,461,177,424,41.7,55,167,32.9,52,58,89.7,52,104,156,45,34,14,33,129,424,1.36,1.03
213,214,Al-Farouq Aminu,LAC,81,1452,457,160,406,39.4,45,143,31.5,92,119,77.3,75,192,267,60,59,25,103,121,492,0.58,0.57
214,215,Shawne Williams,NYK,64,1323,454,164,385,42.6,85,212,40.1,41,49,83.7,60,179,239,47,39,51,46,164,555,1.02,0.85
215,216,Martell Webster,MIN,46,1094,453,152,340,44.7,55,132,41.7,94,122,77.0,36,111,147,53,28,9,58,101,416,0.91,0.48
216,217,Mario Chalmers,MIA,70,1579,447,155,388,39.9,83,231,35.9,54,62,87.1,12,134,146,177,76,7,91,158,521,1.95,0.83
217,218,Caron Butler,DAL,29,867,436,170,378,45.0,28,65,43.1,68,88,77.3,22,96,118,46,28,8,49,59,359,0.94,0.57
218,218,Linas Kleiza,TOR,39,1032,436,178,406,43.8,39,131,29.8,41,65,63.1,37,140,177,40,19,7,65,99,362,0.61,0.29
219,220,Anthony Tolliver,MIN,65,1362,434,141,313,45.0,47,115,40.9,105,131,80.2,92,203,295,82,28,28,49,145,620,1.67,0.57
220,221,Robin Lopez,PHX,67,991,432,179,357,50.1,0,0,0.0,74,100,74.0,82,134,216,8,18,45,48,143,467,0.17,0.38
221,222,Chris Wilcox,DET,57,995,424,187,322,58.1,0,1,0.0,50,89,56.2,95,176,271,43,29,17,43,145,567,1.0,0.67
222,223,Tyrus Thomas,CHA,41,861,419,156,331,47.1,0,3,0.0,107,136,78.7,65,159,224,29,30,66,65,113,499,0.45,0.46
223,224,Kenyon Martin,DEN,48,1233,414,185,362,51.1,2,9,22.2,42,72,58.3,67,230,297,109,43,35,59,136,632,1.85,0.73
224,225,Mickael Pietrus,PHX,57,1107,410,143,365,39.2,85,236,36.0,39,57,68.4,15,111,126,33,29,21,39,101,340,0.85,0.74
225,225,Wayne Ellington,MIN,62,1181,410,160,397,40.3,48,121,39.7,42,53,79.2,26,82,108,72,28,3,53,85,320,1.36,0.53
226,227,Earl Boykins,MIL,57,862,408,156,352,44.3,27,71,38.0,69,82,84.1,15,40,55,141,38,3,52,43,384,2.71,0.73
227,228,Jordan Hill,HOU,72,1125,406,173,352,49.1,0,2,0.0,60,85,70.6,128,178,306,29,14,52,62,157,541,0.47,0.23
228,229,C.J. Watson,CHI,82,1091,405,146,394,37.1,44,112,39.3,69,93,74.2,16,78,94,186,55,11,73,82,406,2.55,0.75
229,230,Nate Robinson,OKC,59,1013,401,150,376,39.9,65,200,32.5,36,44,81.8,15,75,90,111,29,4,68,115,333,1.63,0.43
230,230,Thabo Sefolosha,OKC,79,2049,401,157,333,47.1,28,102,27.5,59,79,74.7,65,281,346,111,97,38,55,171,742,2.02,1.76
231,232,Donte Greene,SAC,69,1127,400,156,386,40.4,45,154,29.2,43,65,66.2,49,98,147,48,36,20,60,88,339,0.8,0.6
232,233,Chris Kaman,LAC,32,838,397,177,376,47.1,0,0,0.0,43,57,75.4,51,174,225,46,16,48,58,75,461,0.79,0.28
233,234,Drew Gooden,MIL,35,860,396,156,362,43.1,3,20,15.0,81,102,79.4,73,165,238,47,21,18,46,98,447,1.02,0.46
234,235,Antonio McDyess,SAS,73,1387,390,169,344,49.1,0,1,0.0,52,77,67.5,122,273,395,84,36,39,72,163,672,1.17,0.5
235,236,Gordon Hayward,UTA,72,1218,388,142,293,48.5,35,74,47.3,69,97,71.1,41,98,139,81,30,19,70,106,408,1.16,0.43
236,237,DeShawn Stevenson,DAL,72,1158,383,128,330,38.8,94,249,37.8,33,43,76.7,20,86,106,77,21,5,44,71,336,1.75,0.48
237,238,Brad Miller,HOU,60,1015,382,132,296,44.6,40,107,37.4,78,94,83.0,44,178,222,145,28,21,54,98,564,2.69,0.52
238,239,Vladimir Radmanovic,GSW,74,1169,374,137,318,43.1,70,173,40.5,30,34,88.2,64,148,212,79,44,44,57,157,511,1.39,0.77
239,240,Ryan Hollins,CLE,70,1182,373,131,219,59.8,0,0,0.0,111,163,68.1,70,116,186,26,22,42,67,199,442,0.39,0.33
240,241,Eddie House,MIA,56,978,362,128,321,39.9,68,175,38.9,38,40,95.0,9,83,92,62,32,3,29,68,327,2.14,1.1
241,242,Jeff Teague,ATL,70,963,361,133,304,43.8,18,48,37.5,77,97,79.4,11,91,102,138,45,25,64,82,416,2.16,0.7
242,243,Zydrunas Ilgauskas,MIA,72,1145,360,162,319,50.8,0,1,0.0,36,46,78.3,108,179,287,26,23,58,52,185,535,0.5,0.44
243,244,Keith Bogans,CHI,82,1461,359,124,307,40.4,90,237,38.0,21,32,65.6,19,129,148,101,38,9,41,113,420,2.46,0.93
244,244,Nikola Pekovic,MIN,65,887,359,136,263,51.7,0,0,0.0,87,114,76.3,90,103,193,27,18,35,91,181,387,0.3,0.2
245,246,Matt Barnes,LAL,53,1020,356,131,279,47.0,34,107,31.8,60,77,77.9,73,155,228,71,39,22,58,127,493,1.22,0.67
246,247,Yi Jianlian,WAS,63,1112,355,145,347,41.8,3,13,23.1,62,91,68.1,79,169,248,25,27,32,51,115,405,0.49,0.53
247,248,Patty Mills,POR,64,783,353,135,328,41.2,47,133,35.3,36,47,76.6,19,32,51,109,27,1,62,63,275,1.76,0.43
248,249,Zaza Pachulia,ATL,79,1244,349,107,232,46.1,0,0,0.0,135,179,75.4,119,214,333,58,34,22,69,184,558,0.84,0.49
249,250,Eric Maynor,OKC,82,1200,348,134,333,40.2,37,96,38.5,43,59,72.9,25,96,121,238,35,6,77,96,456,3.09,0.46
250,251,Trevor Booker,WAS,65,1063,346,139,253,54.9,0,1,0.0,68,101,67.3,98,153,251,35,29,42,38,115,518,0.92,0.76
251,252,Marreese Speights,PHI,64,734,344,144,291,49.5,1,4,25.0,55,73,75.3,64,146,210,30,8,19,40,120,406,0.75,0.2
252,253,Earl Watson,UTA,80,1567,343,126,307,41.0,36,107,33.6,55,82,67.1,52,130,182,278,61,17,116,146,557,2.4,0.53
253,254,Shaquille O'Neal,BOS,37,752,341,134,201,66.7,0,0,0.0,73,131,55.7,48,130,178,26,16,42,56,120,422,0.46,0.29
254,255,Alonzo Gee,CLE,56,1117,331,121,264,45.8,17,51,33.3,72,92,78.3,62,120,182,38,40,18,55,94,391,0.69,0.73
255,255,Jason Smith,NOH,77,1102,331,136,307,44.3,0,2,0.0,59,70,84.3,89,152,241,36,26,32,53,150,431,0.68,0.49
256,257,Nick Collison,OKC,71,1524,329,137,242,56.6,0,0,0.0,55,73,75.3,119,197,316,69,42,31,55,210,609,1.25,0.76
257,258,Patrick Patterson,HOU,52,868,328,149,267,55.8,0,2,0.0,30,42,71.4,86,114,200,41,17,37,31,77,462,1.32,0.55
258,259,Andres Nocioni,PHI,54,931,327,118,277,42.6,42,118,35.6,49,61,80.3,19,150,169,45,14,15,47,100,352,0.96,0.3
259,260,Gary Forbes,DEN,63,791,326,124,273,45.4,19,58,32.8,59,87,67.8,28,88,116,49,23,6,46,77,297,1.06,0.5
260,261,AJ Price,IND,50,795,323,114,320,35.6,41,149,27.5,54,81,66.7,16,56,72,111,29,1,53,61,250,2.09,0.55
261,261,Chris Douglas-Roberts,MIL,44,884,323,117,273,42.9,15,46,32.6,74,89,83.1,7,81,88,50,29,13,35,73,297,1.43,0.83
262,263,Manny Harris,CLE,54,933,321,108,289,37.4,34,92,37.0,71,93,76.3,36,104,140,85,31,7,63,65,318,1.35,0.49
263,264,Brendan Haywood,DAL,72,1331,320,128,223,57.4,0,1,0.0,64,177,36.2,129,247,376,19,16,74,51,146,546,0.37,0.31
264,265,Steve Blake,LAL,79,1581,319,110,306,35.9,73,193,37.8,26,30,86.7,19,137,156,170,40,3,73,99,415,2.33,0.55
265,266,Carlos Arroyo,BOS,64,1185,310,120,273,44.0,31,69,44.9,39,47,83.0,20,83,103,125,21,1,60,71,339,2.08,0.35
266,267,Anthony Randolph,MIN,40,590,305,123,264,46.6,1,4,25.0,58,86,67.4,43,117,160,33,22,24,53,62,322,0.62,0.41
267,268,Christian Eyenga,CLE,44,947,303,130,306,42.5,25,91,27.5,18,28,64.3,27,96,123,35,34,28,47,78,290,0.74,0.72
268,269,Henry Walker,NYK,61,784,298,104,236,44.1,59,153,38.6,31,44,70.5,16,106,122,34,21,6,37,81,299,0.92,0.57
269,270,Andris Biedrins,GSW,59,1397,294,142,266,53.4,0,0,0.0,10,31,32.3,145,281,426,60,52,52,57,198,682,1.05,0.91
270,271,Samardo Samuels,CLE,37,701,288,110,241,45.6,0,3,0.0,68,110,61.8,75,83,158,17,15,18,53,88,270,0.32,0.28
271,272,Dahntay Jones,IND,45,589,283,100,214,46.7,14,39,35.9,69,90,76.7,4,61,65,33,20,7,31,70,242,1.06,0.65
272,273,Anderson Varejao,CLE,31,994,282,114,216,52.8,0,2,0.0,54,81,66.7,98,203,301,45,27,38,40,87,524,1.13,0.68
273,274,Peja Stojakovic,DAL,33,617,280,100,227,44.1,57,136,41.9,23,25,92.0,14,61,75,29,13,2,17,24,253,1.71,0.77
274,275,Jonny Flynn,MIN,53,983,279,108,296,36.5,31,100,31.0,32,42,76.2,12,65,77,182,34,3,113,58,264,1.61,0.3
275,276,Tiago Splitter,SAS,60,738,278,101,191,52.9,0,1,0.0,76,140,54.3,72,129,201,26,29,17,32,91,365,0.81,0.91
276,277,Marcus Camby,POR,59,1540,277,117,294,39.8,0,1,0.0,43,70,61.4,182,424,606,121,40,92,62,140,870,1.95,0.65
277,278,Johan Petro,NJN,77,893,273,129,290,44.5,0,4,0.0,15,28,53.6,62,150,212,44,34,34,46,178,377,0.96,0.74
278,279,Josh Childress,PHX,54,894,272,121,214,56.5,1,16,6.3,29,59,49.2,69,86,155,42,33,23,44,68,358,0.95,0.75
279,280,James Johnson,TOR,38,821,271,108,237,45.6,8,34,23.5,47,71,66.2,37,105,142,89,33,37,64,95,355,1.39,0.52
280,280,Marquis Daniels,BOS,49,938,271,114,232,49.1,4,21,19.0,39,57,68.4,24,89,113,64,39,22,38,63,335,1.68,1.03
281,282,DJ White,CHA,47,685,268,111,219,50.7,0,2,0.0,46,64,71.9,43,115,158,19,12,20,14,77,337,1.36,0.86
282,283,Ronny Turiaf,NYK,64,1141,267,103,163,63.2,0,0,0.0,61,98,62.2,64,143,207,92,35,73,41,160,536,2.24,0.85
283,284,Sebastian Telfair,MIN,37,711,266,97,241,40.2,28,78,35.9,44,60,73.3,17,37,54,111,25,3,64,64,235,1.73,0.39
284,285,Shelden Williams,NYK,59,910,264,103,220,46.8,0,0,0.0,58,75,77.3,93,180,273,32,23,26,43,126,441,0.74,0.54
285,286,Larry Sanders,MIL,60,872,260,116,268,43.3,0,0,0.0,28,50,56.0,59,119,178,16,22,72,38,117,336,0.42,0.58
286,287,Craig Smith,LAC,48,586,258,104,188,55.3,0,5,0.0,50,68,73.5,43,74,117,31,16,7,33,84,294,0.94,0.48
287,288,Jamario Moon,LAC,59,1042,255,101,248,40.7,38,123,30.9,15,17,88.2,23,142,165,52,28,33,22,65,362,2.36,1.27
288,288,Pooh Jeter,SAC,62,858,255,106,259,40.9,6,30,20.0,37,41,90.2,9,61,70,162,29,2,51,54,310,3.18,0.57
289,290,Chris Andersen,DEN,45,732,250,82,137,59.9,0,1,0.0,86,135,63.7,75,144,219,20,23,58,25,79,441,0.8,0.92
290,291,Greivis Vasquez,MEM,70,860,249,95,233,40.8,25,86,29.1,34,44,77.3,12,61,73,151,22,4,70,83,281,2.16,0.31
291,291,Quentin Richardson,ORL,57,955,249,87,255,34.1,42,146,28.8,33,44,75.0,39,139,178,38,25,5,33,74,283,1.15,0.76
292,293,James Posey,IND,49,839,240,81,241,33.6,67,212,31.6,11,15,73.3,10,137,147,34,24,6,24,103,263,1.42,1.0
293,294,Daequan Cook,OKC,43,598,239,79,181,43.6,65,154,42.2,16,20,80.0,8,64,72,20,14,1,17,51,223,1.18,0.82
294,295,Jason Maxiell,DET,57,930,237,93,189,49.2,0,0,0.0,51,99,51.5,66,107,173,17,24,21,44,92,284,0.39,0.55
295,296,Ekpe Udoh,GSW,58,1030,236,97,222,43.7,0,0,0.0,42,64,65.6,80,101,181,40,22,86,48,144,370,0.83,0.46
296,296,Rodrigue Beaubois,DAL,28,496,236,94,223,42.2,25,83,30.1,23,30,76.7,7,45,52,64,20,8,47,76,197,1.36,0.43
297,298,Matt Carroll,CHA,54,582,235,89,199,44.7,17,46,37.0,40,52,76.9,12,56,68,23,17,6,23,43,204,1.0,0.74
298,299,Omer Asik,CHI,82,989,229,78,141,55.3,0,0,0.0,73,145,50.3,112,194,306,32,20,56,64,153,444,0.5,0.31
299,300,Mike Miller,MIA,41,838,228,81,202,40.1,43,118,36.4,23,34,67.6,38,146,184,51,20,2,41,88,312,1.24,0.49
300,301,Josh Powell,ATL,54,653,224,94,208,45.2,0,1,0.0,36,45,80.0,49,86,135,22,5,5,53,78,215,0.41,0.09
301,302,Jermaine Taylor,SAC,34,482,223,94,196,48.0,14,45,31.1,21,28,75.0,26,36,62,32,14,5,46,39,181,0.7,0.3
302,302,T.J. Ford,IND,41,773,223,91,236,38.6,6,32,18.8,35,48,72.9,17,64,81,141,35,8,63,69,267,2.24,0.56
303,304,Rasual Butler,CHI,47,770,222,79,237,33.3,46,136,33.8,18,27,66.7,10,67,77,27,8,15,24,37,158,1.13,0.33
304,305,Acie Law,GSW,51,726,215,81,186,43.5,6,36,16.7,47,64,73.4,12,51,63,84,32,0,43,61,229,1.95,0.74
305,306,Kurt Thomas,CHI,52,1178,211,95,186,51.1,1,1,100.0,20,32,62.5,75,226,301,60,32,42,42,164,501,1.43,0.76
306,307,Cartier Martin,WAS,52,542,209,71,182,39.0,39,99,39.4,28,40,70.0,20,54,74,18,18,6,16,52,186,1.13,1.13
307,308,Ike Diogu,LAC,36,470,207,83,148,56.1,0,0,0.0,41,62,66.1,41,74,115,2,3,3,22,72,222,0.09,0.14
308,309,Joey Graham,CLE,39,586,202,82,179,45.8,9,30,30.0,29,36,80.6,8,76,84,18,6,7,28,73,185,0.64,0.21
309,310,Lou Amundson,GSW,46,691,200,83,183,45.4,0,0,0.0,34,87,39.1,81,104,185,17,14,33,24,87,272,0.71,0.58
310,310,Luther Head,SAC,36,586,200,68,164,41.5,25,64,39.1,39,50,78.0,16,44,60,70,10,9,32,43,210,2.19,0.31
311,312,Stephen Graham,NJN,59,959,198,81,200,40.5,5,21,23.8,31,38,81.6,17,106,123,40,14,1,38,106,212,1.05,0.37
312,313,Ronnie Price,UTA,59,717,197,74,210,35.2,20,69,29.0,29,39,74.4,22,39,61,56,42,5,55,106,160,1.02,0.76
313,314,Brian Cook,LAC,40,447,193,72,170,42.4,34,79,43.0,15,24,62.5,19,77,96,15,12,11,25,75,195,0.6,0.48
314,314,Luke Harangody,CLE,49,641,193,79,206,38.3,16,66,24.2,19,26,73.1,40,103,143,30,15,17,16,80,248,1.88,0.94
315,316,Julian Wright,TOR,52,766,188,82,160,51.3,2,10,20.0,22,43,51.2,47,71,118,58,39,20,43,45,281,1.35,0.91
316,316,Quincy Pondexter,NOH,66,734,188,73,180,40.6,18,50,36.0,24,34,70.6,23,65,88,28,17,10,16,63,198,1.75,1.06
317,318,Darnell Jackson,SAC,59,486,187,77,158,48.7,3,11,27.3,30,49,61.2,49,45,94,14,12,3,23,61,187,0.61,0.52
318,318,Jeff Foster,IND,56,940,187,80,167,47.9,0,3,0.0,27,48,56.3,160,190,350,46,24,31,26,127,504,1.77,0.92
319,320,Derrick Brown,NYK,49,575,185,74,131,56.5,5,10,50.0,32,60,53.3,41,58,99,33,20,10,35,59,227,0.94,0.57
320,321,Von Wafer,BOS,58,553,184,67,159,42.1,18,67,26.9,32,38,84.2,7,42,49,35,18,5,20,39,173,1.75,0.9
321,322,Damien Wilkins,ATL,52,676,180,69,137,50.4,2,10,20.0,40,56,71.4,23,67,90,41,27,9,21,72,242,1.95,1.29
322,323,Jeremy Evans,UTA,49,463,178,76,115,66.1,0,1,0.0,26,37,70.3,36,61,97,24,17,17,19,50,264,1.26,0.9
323,324,Dominic McGuire,CHA,52,760,174,72,182,39.6,0,2,0.0,30,39,76.9,63,136,199,43,10,33,25,94,315,1.72,0.4
324,324,Kendrick Perkins,OKC,29,742,174,67,130,51.5,0,0,0.0,40,72,55.6,62,170,232,26,9,26,56,91,316,0.46,0.16
325,326,Ian Mahinmi,DAL,56,488,173,55,98,56.1,0,2,0.0,63,82,76.8,43,77,120,8,14,15,25,105,243,0.32,0.56
326,327,Xavier Henry,MEM,38,527,165,65,160,40.6,2,17,11.8,33,52,63.5,9,28,37,18,11,3,13,48,107,1.39,0.85
327,328,Earl Clark,ORL,42,464,163,68,158,43.0,0,5,0.0,27,47,57.4,37,64,101,9,8,18,28,45,161,0.32,0.29
328,328,Semih Erden,CLE,41,595,163,62,111,55.9,0,0,0.0,39,60,65.0,37,81,118,20,15,24,34,104,236,0.59,0.44
329,328,Timofey Mozgov,DEN,45,524,163,63,133,47.4,0,0,0.0,37,52,71.2,46,75,121,15,15,25,35,84,219,0.43,0.43
330,331,Kosta Koufos,DEN,50,434,160,68,150,45.3,0,2,0.0,24,43,55.8,57,73,130,7,10,25,31,59,200,0.23,0.32
331,331,Lazar Hayward,MIN,42,419,160,55,154,35.7,17,60,28.3,33,42,78.6,23,47,70,28,12,7,19,44,150,1.47,0.63
332,333,Ben Uzoh,NJN,42,438,158,61,144,42.4,3,8,37.5,33,56,58.9,30,31,61,69,13,8,25,29,178,2.76,0.52
333,333,Leon Powe,MEM,30,328,158,59,119,49.6,0,2,0.0,40,72,55.6,24,39,63,7,10,4,12,44,138,0.58,0.83
334,335,Ben Wallace,DET,54,1238,154,67,149,45.0,1,2,50.0,19,57,33.3,129,221,350,72,54,54,44,81,520,1.64,1.23
335,335,Kevin Seraphin,WAS,58,635,154,66,147,44.9,0,0,0.0,22,31,71.0,80,72,152,10,17,28,42,126,229,0.24,0.41
336,337,Joel Anthony,MIA,75,1463,153,53,99,53.5,0,0,0.0,47,73,64.4,104,162,266,24,10,93,36,194,438,0.67,0.28
337,338,Josh Howard,WAS,18,409,152,58,162,35.8,7,29,24.1,29,47,61.7,18,56,74,24,13,5,20,34,126,1.2,0.65
338,339,Brian Cardinal,DAL,56,618,145,43,100,43.0,42,87,48.3,17,18,94.4,10,49,59,40,24,7,17,82,200,2.35,1.41
339,340,Alexis Ajinca,TOR,34,340,143,59,133,44.4,12,34,35.3,13,18,72.2,17,61,78,10,11,19,18,73,164,0.56,0.61
340,341,Brandan Wright,NJN,37,379,141,60,117,51.3,0,0,0.0,21,31,67.7,31,58,89,12,11,17,14,34,189,0.86,0.79
341,342,Juwan Howard,MIA,57,592,139,55,125,44.0,0,0,0.0,29,35,82.9,36,86,122,23,10,4,25,61,197,0.92,0.4
342,342,Solomon Jones,IND,39,528,139,49,121,40.5,0,1,0.0,41,62,66.1,45,68,113,30,12,22,35,94,188,0.86,0.34
343,344,Jon Brockman,MIL,63,677,136,48,94,51.1,0,0,0.0,40,59,67.8,74,110,184,18,14,3,24,119,266,0.75,0.58
344,345,Delonte West,BOS,24,453,135,55,120,45.8,12,33,36.4,13,15,86.7,6,31,37,64,20,10,30,29,169,2.13,0.67
345,345,Joey Dorsey,TOR,43,522,135,52,99,52.5,0,0,0.0,31,65,47.7,79,111,190,27,24,17,39,78,273,0.69,0.61
346,347,David Andersen,NOH,40,373,134,56,121,46.3,8,23,34.8,14,22,63.6,20,64,84,13,5,9,22,40,150,0.59,0.23
347,347,Francisco Elson,UTA,62,610,134,54,113,47.8,0,0,0.0,26,31,83.9,35,80,115,33,21,14,32,84,221,1.03,0.66
348,349,Reggie Evans,TOR,30,798,132,42,103,40.8,0,1,0.0,48,88,54.5,119,226,345,38,29,6,39,89,410,0.97,0.74
349,350,Aaron Gray,NOH,41,531,129,56,99,56.6,0,0,0.0,17,34,50.0,59,112,171,16,11,12,32,96,247,0.5,0.34
350,350,Jermaine O'Neal,BOS,24,431,129,50,109,45.9,0,1,0.0,29,43,67.4,25,63,88,12,2,30,27,65,161,0.44,0.07
351,352,Erick Dampier,MIA,51,815,128,52,89,58.4,0,1,0.0,24,44,54.5,53,124,177,22,14,47,32,82,299,0.69,0.44
352,353,Rodney Carney,MEM,27,335,127,46,110,41.8,17,38,44.7,18,27,66.7,13,35,48,11,12,5,16,33,114,0.69,0.75
353,354,Chris Duhon,ORL,51,774,125,49,129,38.0,13,52,25.0,14,25,56.0,9,43,52,118,16,2,61,30,161,1.93,0.26
354,355,Zabian Dowdell,PHX,24,292,121,51,125,40.8,3,10,30.0,16,17,94.1,5,15,20,51,20,2,29,30,110,1.76,0.69
355,356,Dan Gadzuric,NJN,42,463,118,54,129,41.9,0,1,0.0,10,27,37.0,71,64,135,14,13,29,29,91,188,0.48,0.45
356,357,Sundiata Gaines,NJN,24,301,111,42,105,40.0,9,38,23.7,18,36,50.0,13,25,38,42,16,1,27,25,100,1.56,0.59
357,358,Anthony Carter,NYK,33,463,110,45,106,42.5,12,40,30.0,8,8,100.0,7,44,51,69,27,6,39,49,163,1.77,0.69
358,358,Armon Johnson,POR,38,277,110,46,101,45.5,5,12,41.7,13,22,59.1,11,25,36,45,5,1,38,31,95,1.18,0.13
359,358,Damion James,NJN,25,403,110,46,103,44.7,0,3,0.0,18,28,64.3,17,68,85,20,16,12,25,36,151,0.8,0.64
360,361,Troy Murphy,BOS,35,466,109,42,114,36.8,5,33,15.2,20,30,66.7,22,91,113,23,15,3,20,47,161,1.15,0.75
361,362,Kyrylo Fesenko,UTA,53,456,106,44,100,44.0,0,1,0.0,18,46,39.1,34,74,108,18,4,16,25,90,143,0.72,0.16
362,362,Terrence Williams,HOU,21,290,106,43,115,37.4,6,22,27.3,14,21,66.7,4,47,51,38,9,0,33,25,92,1.15,0.27
363,364,Jawad Williams,CLE,26,391,104,41,126,32.5,13,45,28.9,9,12,75.0,7,41,48,22,9,3,16,34,82,1.38,0.56
364,364,Steve Novak,SAS,30,215,104,35,67,52.2,26,46,56.5,8,8,100.0,4,24,28,3,1,5,4,14,105,0.75,0.25
365,364,Udonis Haslem,MIA,13,345,104,44,86,51.2,0,0,0.0,16,20,80.0,29,77,106,6,7,3,14,39,166,0.43,0.5
366,367,Ish Smith,MEM,43,442,101,43,115,37.4,3,10,30.0,12,21,57.1,7,40,47,79,18,2,34,37,132,2.32,0.53
367,368,Tony Battie,PHI,38,377,100,45,96,46.9,2,3,66.7,8,14,57.1,17,82,99,12,5,15,12,59,162,1.0,0.42
368,369,Jason Collins,ATL,49,593,96,34,71,47.9,1,1,100.0,27,41,65.9,30,72,102,22,9,9,26,97,161,0.85,0.35
369,370,James Anderson,SAS,26,286,94,31,81,38.3,18,46,39.1,14,18,77.8,2,21,23,18,3,6,13,24,77,1.39,0.23
370,371,Othyus Jeffers,WAS,17,322,93,31,65,47.7,1,4,25.0,30,46,65.2,25,42,67,20,17,0,14,32,133,1.43,1.21
371,372,Hilton Armstrong,ATL,53,489,92,37,76,48.7,2,4,50.0,16,33,48.5,42,89,131,14,18,21,28,84,192,0.5,0.64
372,373,Luke Walton,LAL,54,484,91,38,116,32.8,8,34,23.5,7,10,70.0,9,58,67,62,9,4,31,38,121,2.0,0.29
373,374,Chris Quinn,SAS,41,292,81,33,91,36.3,11,37,29.7,4,8,50.0,3,22,25,42,5,1,12,29,80,3.5,0.42
374,374,Derrick Caracter,LAL,41,215,81,32,66,48.5,0,0,0.0,17,23,73.9,19,24,43,7,4,10,19,47,86,0.37,0.21
375,376,Earl Barron,POR,21,306,79,32,99,32.3,0,0,0.0,15,24,62.5,32,44,76,11,8,6,16,46,88,0.69,0.5
