,#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
187,188,Manu Ginobili,SAS,34,792,440,150,285,52.6,52,126,41.3,88,101,87.1,18,98,116,151,24,12,64,56,531,2.36,0.38
188,189,JR Smith,NYK,35,967,436,165,405,40.7,67,193,34.7,39,55,70.9,29,107,136,84,54,6,46,87,414,1.83,1.17
189,189,Ricky Rubio,MIN,41,1404,436,139,389,35.7,32,94,34.0,126,157,80.3,21,150,171,336,91,8,131,97,630,2.56,0.69
190,191,Matt Bonner,SAS,65,1326,429,154,350,44.0,105,250,42.0,16,21,76.2,29,185,214,61,15,21,14,68,525,4.36,1.07
191,192,Alec Burks,UTA,59,939,425,153,357,42.9,15,45,33.3,104,143,72.7,57,75,132,55,27,5,51,84,350,1.08,0.53
192,193,Jason Maxiell,DET,65,1466,424,183,383,47.8,0,2,0.0,58,106,54.7,126,207,333,41,32,50,71,151,561,0.58,0.45
193,194,Delonte West,DAL,44,1060,421,166,360,46.1,27,76,35.5,62,70,88.6,13,88,101,139,58,11,76,67,452,1.83,0.76
194,195,Trevor Booker,WAS,50,1261,419,181,341,53.1,1,2,50.0,56,93,60.2,119,206,325,40,48,43,58,138,620,0.69,0.83
195,196,Michael Redd,PHX,51,770,418,144,360,40.0,42,132,31.8,88,111,79.3,14,63,77,33,13,0,37,29,265,0.89,0.35
196,197,Ed Davis,TOR,66,1534,415,172,335,51.3,0,1,0.0,71,106,67.0,134,304,438,60,40,63,67,156,751,0.9,0.6
197,198,Jordan Farmar,NJN,39,831,406,147,315,46.7,55,125,44.0,57,63,90.5,7,54,61,129,24,2,68,49,380,1.9,0.35
198,199,Willie Green,ATL,53,922,404,153,325,47.1,50,113,44.2,48,56,85.7,15,65,80,40,23,6,33,74,340,1.21,0.7
199,200,Gerald Green,NJN,31,781,400,154,320,48.1,43,110,39.1,49,65,75.4,15,93,108,34,28,17,55,80,350,0.62,0.51
200,201,Al-Farouq Aminu,NOH,66,1477,399,150,365,41.1,13,47,27.7,86,114,75.4,95,213,308,66,59,34,91,136,532,0.72,0.65
201,202,Jason Smith,NOH,40,947,396,181,348,52.0,1,9,11.1,33,47,70.2,72,124,196,34,21,41,40,102,467,0.85,0.53
202,203,Wesley Johnson,MIN,65,1469,393,158,397,39.8,53,169,31.4,24,34,70.6,24,153,177,59,35,48,60,115,403,0.98,0.58
203,204,DJ White,CHA,58,1098,392,174,353,49.3,1,1,100.0,43,61,70.5,50,159,209,47,17,23,43,94,448,1.09,0.4
204,205,Udonis Haslem,MIA,64,1589,385,151,357,42.3,0,0,0.0,83,102,81.4,117,353,470,42,35,24,60,142,671,0.7,0.58
205,206,Stephen Curry,GSW,26,732,383,145,296,49.0,55,121,45.5,38,47,80.9,15,73,88,138,39,8,65,62,431,2.12,0.6
206,207,Josh Howard,UTA,43,991,372,144,361,39.9,9,37,24.3,75,97,77.3,39,119,158,50,32,10,53,91,330,0.94,0.6
207,208,John Lucas III,CHI,49,726,369,143,358,39.9,55,140,39.3,28,32,87.5,22,54,76,108,19,1,42,42,312,2.57,0.45
208,209,Sebastian Telfair,PHX,60,895,368,141,342,41.2,33,105,31.4,53,67,79.1,20,71,91,138,41,12,68,120,367,2.03,0.6
209,210,Anthony Parker,CLE,51,1280,367,141,326,43.3,50,138,36.2,35,56,62.5,10,128,138,120,38,7,50,65,414,2.4,0.76
210,211,Boris Diaw,SAS,57,1425,365,156,351,44.4,31,99,31.3,22,35,62.9,70,210,280,205,34,25,112,125,589,1.83,0.3
211,212,Ivan Johnson,ATL,56,934,356,141,275,51.3,2,6,33.3,72,100,72.0,65,161,226,32,43,18,69,116,444,0.46,0.62
212,213,Spencer Hawes,PHI,37,920,355,156,319,48.9,3,12,25.0,40,55,72.7,78,192,270,98,16,48,55,100,554,1.78,0.29
213,214,Ian Mahinmi,DAL,61,1139,354,130,238,54.6,0,1,0.0,94,147,63.9,108,181,289,12,38,31,50,176,513,0.24,0.76
214,215,Jerryd Bayless,TOR,31,705,353,117,276,42.4,44,104,42.3,75,88,85.2,8,58,66,118,24,4,53,70,340,2.23,0.45
215,216,Derek Fisher,OKC,63,1508,350,129,348,37.1,35,109,32.1,57,67,85.1,12,109,121,170,51,4,73,117,394,2.33,0.7
216,217,Beno Udrih,MIL,59,1080,348,146,332,44.0,17,59,28.8,39,55,70.9,26,76,102,227,37,1,77,69,436,2.95,0.48
217,217,Robin Lopez,PHX,64,895,348,124,269,46.1,0,0,0.0,100,140,71.4,90,119,209,20,18,60,43,128,427,0.47,0.42
218,219,Dahntay Jones,IND,65,1052,346,115,281,40.9,33,77,42.9,83,99,83.8,23,94,117,63,23,11,46,119,332,1.37,0.5
219,220,John Salmons,SAC,46,1250,344,141,345,40.9,33,112,29.5,29,45,64.4,20,114,134,93,37,7,45,77,350,2.07,0.82
220,221,Brandan Wright,DAL,49,791,340,144,233,61.8,0,1,0.0,52,82,63.4,62,112,174,13,22,63,21,61,472,0.62,1.05
221,221,Ekpe Udoh,MIL,61,1290,340,127,295,43.1,0,2,0.0,86,114,75.4,100,154,254,57,40,102,53,174,544,1.07,0.76
222,223,Dante Cunningham,MEM,64,1124,333,144,279,51.6,0,2,0.0,45,69,65.2,91,155,246,37,42,34,29,98,504,1.28,1.45
223,223,Luc Mbah a Moute,MIL,43,1009,333,133,261,51.0,1,4,25.0,66,103,64.1,77,150,227,29,40,22,39,93,447,0.74,1.03
224,225,Lamar Odom,DAL,50,1027,332,123,349,35.2,28,111,25.2,58,98,59.2,36,172,208,83,20,18,52,97,343,1.6,0.39
225,226,Kendrick Perkins,OKC,65,1744,329,128,262,48.9,0,0,0.0,73,112,65.2,120,306,426,78,25,73,118,189,640,0.66,0.21
226,227,Bismack Biyombo,CHA,63,1455,327,129,278,46.4,0,0,0.0,69,143,48.3,113,255,368,27,20,115,71,145,563,0.38,0.28
227,228,Richard Hamilton,CHI,28,697,326,140,310,45.2,17,46,37.0,29,37,78.4,20,46,66,84,12,1,49,56,262,1.71,0.24
228,229,Martell Webster,MIN,47,1140,324,115,272,42.3,37,109,33.9,57,72,79.2,42,126,168,40,31,17,46,86,362,0.87,0.67
229,229,Zach Randolph,MEM,28,735,324,132,285,46.3,2,8,25.0,58,88,65.9,78,147,225,48,21,4,40,57,399,1.2,0.53
230,231,Gary Forbes,TOR,48,713,319,112,271,41.3,29,83,34.9,66,91,72.5,27,75,102,54,24,4,54,56,265,1.0,0.44
231,231,Gustavo Ayon,NOH,54,1088,319,140,261,53.6,0,1,0.0,39,63,61.9,86,179,265,74,53,46,46,118,566,1.61,1.15
232,233,Shaun Livingston,MIL,58,1092,318,127,271,46.9,2,3,66.7,62,79,78.5,39,84,123,122,27,20,66,79,383,1.85,0.41
233,234,Kirk Hinrich,ATL,48,1237,316,122,295,41.4,47,136,34.6,25,32,78.1,11,90,101,132,38,11,58,100,360,2.28,0.66
234,235,Daequan Cook,OKC,57,989,311,109,296,36.8,79,228,34.6,14,22,63.6,12,110,122,15,22,11,16,69,270,0.94,1.38
235,235,Shane Battier,MIA,65,1499,311,113,292,38.7,62,183,33.9,23,37,62.2,56,100,156,82,64,33,37,105,416,2.22,1.73
236,235,Wayne Ellington,MIN,51,973,311,122,302,40.4,35,108,32.4,32,40,80.0,14,85,99,33,26,10,26,56,265,1.27,1.0
237,238,Chris Singleton,WAS,66,1431,306,116,312,37.2,44,127,34.6,30,44,68.2,43,190,233,49,70,30,38,176,440,1.29,1.84
238,239,Enes Freedom,UTA,66,874,304,117,236,49.6,0,1,0.0,70,105,66.7,107,171,278,8,18,23,54,87,423,0.15,0.33
239,239,Tyrus Thomas,CHA,54,1013,304,120,327,36.7,1,3,33.3,63,83,75.9,49,151,200,35,36,60,53,144,355,0.66,0.68
240,241,Chauncey Billups,LAC,20,607,299,83,228,36.4,48,125,38.4,85,95,89.5,4,46,50,80,9,3,38,40,248,2.1,0.24
241,241,Jason Kidd,DAL,48,1379,299,99,273,36.3,79,223,35.4,22,28,78.6,15,183,198,264,82,10,91,83,582,2.9,0.9
242,243,Charles Jenkins,GSW,51,893,297,130,291,44.7,3,20,15.0,34,39,87.2,8,60,68,170,33,6,60,85,348,2.83,0.55
243,244,Samardo Samuels,CLE,54,825,292,105,231,45.5,0,0,0.0,82,117,70.1,63,117,180,20,20,20,56,113,315,0.36,0.36
244,245,Sundiata Gaines,NJN,57,793,291,102,271,37.6,28,82,34.1,59,96,61.5,27,81,108,126,55,2,52,58,324,2.42,1.06
245,246,Mickael Pietrus,BOS,42,921,289,104,270,38.5,61,182,33.5,20,31,64.5,18,112,130,25,21,10,33,81,265,0.76,0.64
246,247,Marcus Camby,HOU,59,1352,287,128,287,44.6,2,5,40.0,29,64,45.3,157,373,530,107,50,85,57,126,808,1.88,0.88
247,248,Roger Mason Jr.,WAS,52,697,286,103,258,39.9,59,154,38.3,21,27,77.8,7,62,69,47,13,5,32,33,227,1.47,0.41
248,249,Donte Greene,SAC,53,777,285,108,266,40.6,25,105,23.8,44,55,80.0,19,114,133,34,18,29,32,67,298,1.06,0.56
249,250,Nick Collison,OKC,63,1307,284,120,201,59.7,0,1,0.0,44,62,71.0,119,155,274,82,33,28,61,153,541,1.34,0.54
250,251,Nikola Vučević,PHI,51,812,283,131,291,45.0,3,8,37.5,18,34,52.9,88,158,246,31,20,34,33,111,405,0.94,0.61
251,252,Jannero Pargo,ATL,50,671,282,105,253,41.5,53,138,38.4,19,20,95.0,9,64,73,96,20,2,49,64,275,1.96,0.41
252,253,Brendan Haywood,DAL,54,1146,281,118,228,51.8,0,0,0.0,45,96,46.9,139,185,324,19,24,54,46,121,495,0.41,0.52
253,254,Steve Blake,LAL,53,1237,276,101,268,37.7,53,158,33.5,21,27,77.8,9,76,85,175,39,2,72,75,332,2.43,0.54
254,255,Reggie Williams,CHA,33,747,274,106,255,41.6,33,107,30.8,29,40,72.5,27,66,93,60,20,3,33,34,257,1.82,0.61
255,256,Tracy McGrady,ATL,52,837,273,101,231,43.7,15,33,45.5,56,83,67.5,23,131,154,110,16,15,53,35,358,2.08,0.3
256,257,Anderson Varejao,CLE,25,785,271,114,222,51.4,0,4,0.0,43,64,67.2,109,178,287,43,35,17,45,62,479,0.96,0.78
257,257,Quincy Pondexter,MEM,64,1002,271,108,239,45.2,22,73,30.1,33,53,62.3,55,71,126,27,27,5,30,90,275,0.9,0.9
258,259,Rudy Fernandez,DEN,31,710,268,99,225,44.0,40,122,32.8,30,43,69.8,9,56,65,75,31,3,40,37,263,1.88,0.78
259,259,Shelden Williams,NJN,58,1276,268,96,201,47.8,0,0,0.0,76,104,73.1,141,209,350,35,47,39,66,149,540,0.53,0.71
260,261,Jan Vesely,WAS,57,1078,267,117,218,53.7,0,1,0.0,33,62,53.2,101,148,249,47,39,32,60,156,444,0.78,0.65
261,262,Emeka Okafor,NOH,27,781,266,114,214,53.3,0,0,0.0,38,74,51.4,70,143,213,24,16,26,37,73,372,0.65,0.43
262,263,Daniel Gibson,CLE,35,916,263,87,248,35.1,55,139,39.6,34,43,79.1,11,90,101,76,26,16,45,69,267,1.69,0.58
263,263,Kosta Koufos,DEN,48,792,263,115,192,59.9,0,0,0.0,33,55,60.0,95,163,258,15,24,41,33,96,469,0.46,0.73
264,265,Anthony Randolph,MIN,34,517,252,94,200,47.0,0,1,0.0,64,84,76.2,42,81,123,19,13,35,40,56,276,0.47,0.33
265,266,Johan Petro,NJN,59,920,250,109,260,41.9,1,1,100.0,31,37,83.8,68,156,224,45,21,23,38,122,368,1.18,0.55
266,267,Timofey Mozgov,DEN,44,687,239,100,190,52.6,0,0,0.0,39,57,68.4,53,126,179,22,15,42,53,86,336,0.41,0.28
267,267,Xavier Henry,NOH,45,759,239,90,228,39.5,7,17,41.2,52,85,61.2,24,82,106,35,26,8,35,59,208,1.0,0.74
268,269,Chris Duhon,ORL,63,1226,237,85,203,41.9,50,119,42.0,17,21,81.0,14,88,102,151,35,9,81,71,331,1.86,0.43
269,269,Mike Miller,MIA,39,752,237,91,209,43.5,53,117,45.3,2,5,40.0,22,106,128,42,14,6,30,58,276,1.4,0.47
270,269,Toney Douglas,NYK,38,656,237,94,290,32.4,27,117,23.1,22,26,84.6,16,56,72,77,29,1,56,55,160,1.38,0.52
271,272,Francisco Garcia,SAC,49,798,234,86,229,37.6,38,131,29.0,24,30,80.0,11,88,99,31,36,37,22,73,266,1.41,1.64
272,273,Shelvin Mack,WAS,64,779,230,88,220,40.0,12,42,28.6,42,59,71.2,12,80,92,131,28,2,48,50,286,2.73,0.58
273,274,Dominic McGuire,GSW,64,1127,227,94,210,44.8,0,4,0.0,39,53,73.6,73,173,246,110,44,36,56,104,477,1.96,0.79
274,275,Hakim Warrick,PHX,35,503,225,74,180,41.1,1,10,10.0,76,99,76.8,31,61,92,30,8,3,36,35,193,0.83,0.22
275,276,Andray Blatche,WAS,26,626,221,93,245,38.0,2,7,28.6,33,49,67.3,42,108,150,28,20,17,37,54,231,0.76,0.54
276,277,Vladimir Radmanovic,ATL,49,755,220,74,197,37.6,50,135,37.0,22,29,75.9,34,109,143,54,21,15,35,62,288,1.54,0.6
277,278,Joel Anthony,MIA,64,1349,219,85,152,55.9,0,0,0.0,49,71,69.0,100,150,250,9,36,84,45,126,464,0.2,0.8
278,279,Jon Leuer,MIL,46,555,218,97,191,50.8,3,9,33.3,21,28,75.0,45,75,120,25,14,17,18,67,275,1.39,0.78
279,280,Kenyon Martin,LAC,42,940,217,97,220,44.1,3,13,23.1,20,54,37.0,49,132,181,18,44,43,32,103,314,0.56,1.38
280,280,Raja Bell,UTA,34,796,217,81,174,46.6,34,87,39.1,21,25,84.0,6,43,49,38,13,2,21,78,201,1.81,0.62
281,280,Rashard Lewis,WAS,28,729,217,85,221,38.5,16,67,23.9,31,37,83.8,34,75,109,27,23,10,32,49,212,0.84,0.72
282,283,Quentin Richardson,ORL,48,866,215,74,197,37.6,42,121,34.7,25,30,83.3,15,108,123,38,28,6,29,74,253,1.31,0.97
283,284,Lou Amundson,IND,60,753,213,89,207,43.0,0,0,0.0,35,82,42.7,94,128,222,14,27,44,45,125,310,0.31,0.6
284,284,Terrence Williams,SAC,30,550,213,85,198,42.9,16,46,34.8,27,46,58.7,13,89,102,65,20,7,43,35,232,1.51,0.47
285,286,Anthony Tolliver,MIN,51,882,208,71,182,39.0,25,101,24.8,41,55,74.5,50,103,153,22,18,19,35,86,260,0.63,0.51
286,286,Tobias Harris,MIL,42,479,208,79,169,46.7,6,23,26.1,44,54,81.5,30,71,101,22,13,7,31,45,220,0.71,0.42
287,288,Jeremy Tyler,GSW,42,568,205,88,209,42.1,0,1,0.0,29,52,55.8,54,86,140,16,16,20,36,84,217,0.44,0.44
288,288,Omer Asik,CHI,66,971,205,79,156,50.6,0,0,0.0,47,103,45.6,127,223,350,32,30,68,68,121,484,0.47,0.44
289,290,Will Bynum,DET,36,514,204,74,194,38.1,7,29,24.1,49,64,76.6,10,46,56,66,23,3,54,61,163,1.22,0.43
290,291,Thabo Sefolosha,OKC,42,914,203,67,155,43.2,31,71,43.7,38,43,88.4,21,107,128,47,37,17,40,78,299,1.18,0.93
291,292,Luke Babbitt,POR,40,537,202,71,173,41.0,43,100,43.0,17,20,85.0,16,79,95,16,10,4,27,46,195,0.59,0.37
292,293,Jordan Williams,NJN,43,635,197,77,152,50.7,0,0,0.0,43,66,65.2,66,90,156,11,21,15,23,61,279,0.48,0.91
293,294,Austin Daye,DET,41,603,194,73,227,32.2,13,62,21.0,35,43,81.4,14,77,91,33,22,21,40,62,159,0.82,0.55
294,294,Jordan Hill,LAL,39,551,194,82,165,49.7,0,3,0.0,30,47,63.8,61,125,186,16,14,27,31,71,306,0.52,0.45
295,294,Von Wafer,ORL,33,469,194,71,157,45.2,14,39,35.9,38,54,70.4,6,39,45,29,10,3,35,26,144,0.83,0.29
296,297,Damien Wilkins,DET,60,922,193,76,193,39.4,7,23,30.4,34,54,63.0,22,78,100,44,29,13,30,85,212,1.47,0.97
297,298,Aaron Gray,TOR,49,813,191,83,161,51.6,0,0,0.0,25,47,53.2,83,198,281,27,22,17,51,127,387,0.53,0.43
298,299,James Anderson,SAS,51,603,190,66,174,37.9,19,68,27.9,39,52,75.0,16,63,79,41,8,2,30,35,169,1.37,0.27
299,300,Henry Walker,NYK,32,620,189,68,171,39.8,36,113,31.9,17,20,85.0,9,71,80,37,19,7,35,84,191,1.06,0.54
300,301,Troy Murphy,LAL,59,956,188,77,171,45.0,28,67,41.8,6,9,66.7,40,151,191,51,15,16,26,98,338,1.96,0.58
301,302,Larry Sanders,MIL,52,643,186,84,184,45.7,0,2,0.0,18,38,47.4,62,98,160,33,32,76,43,133,324,0.77,0.74
302,303,Eric Gordon,NOH,9,310,185,63,140,45.0,10,40,25.0,49,65,75.4,2,23,25,31,13,4,24,20,141,1.29,0.54
303,303,James Jones,MIA,51,666,185,57,150,38.0,46,114,40.4,25,30,83.3,6,43,49,19,17,9,10,45,171,1.9,1.7
304,305,Donald Sloan,CLE,33,670,183,79,198,39.9,2,25,8.0,23,30,76.7,18,49,67,105,13,3,49,37,196,2.14,0.27
305,306,Keyon Dooling,BOS,46,662,182,66,163,40.5,27,81,33.3,23,31,74.2,3,36,39,51,13,2,34,57,148,1.5,0.38
306,307,Baron Davis,NYK,29,595,178,68,184,37.0,26,85,30.6,16,24,66.7,13,43,56,135,34,3,76,61,206,1.78,0.45
307,308,Andrew Goudelock,LAL,40,419,175,68,174,39.1,28,75,37.3,11,12,91.7,5,26,31,20,4,0,21,32,102,0.95,0.19
308,309,Lester Hudson,MEM,16,334,174,62,162,38.3,16,64,25.0,34,41,82.9,7,39,46,36,14,3,32,26,134,1.13,0.44
309,310,Manny Harris,CLE,26,456,173,60,150,40.0,12,36,33.3,41,59,69.5,11,59,70,31,13,6,27,28,158,1.15,0.48
310,311,AJ Price,IND,44,568,172,59,174,33.9,26,88,29.5,28,35,80.0,13,48,61,86,20,2,32,30,187,2.69,0.63
311,311,Chuck Hayes,SAC,54,1039,172,73,170,42.9,0,2,0.0,26,39,66.7,72,162,234,77,36,17,50,111,376,1.54,0.72
312,313,Nazr Mohammed,OKC,63,692,171,79,169,46.7,0,1,0.0,13,23,56.5,59,111,170,14,20,37,26,101,286,0.54,0.77
313,314,Jared Jeffries,NYK,39,729,170,59,144,41.0,3,16,18.8,49,72,68.1,69,83,152,26,29,25,29,89,265,0.9,1.0
314,315,Lavoy Allen,PHI,41,624,169,79,167,47.3,0,0,0.0,11,14,78.6,47,124,171,34,13,18,20,73,294,1.7,0.65
315,316,Chris Andersen,DEN,32,486,168,59,108,54.6,0,0,0.0,50,82,61.0,48,100,148,6,19,46,17,52,289,0.35,1.12
316,317,Nolan Smith,POR,44,541,167,67,180,37.2,13,45,28.9,20,28,71.4,17,39,56,62,18,3,42,55,143,1.48,0.43
317,317,Travis Outlaw,SAC,39,500,167,60,175,34.3,16,60,26.7,31,46,67.4,19,42,61,16,19,21,20,34,134,0.8,0.95
318,319,Lance Thomas,NOH,42,630,166,57,126,45.2,0,1,0.0,52,62,83.9,49,77,126,12,10,7,24,78,218,0.5,0.42
319,320,Patty Mills,SAS,16,261,165,63,130,48.5,24,56,42.9,15,15,100.0,4,24,28,39,10,1,26,14,150,1.5,0.39
320,321,Alan Anderson,TOR,17,461,163,55,142,38.7,24,61,39.3,29,34,85.3,8,26,34,26,5,3,25,35,114,1.04,0.2
321,322,Josh Harrellson,NYK,37,540,162,63,149,42.3,20,59,33.9,16,26,61.5,47,97,144,11,23,20,20,48,244,0.55,1.15
322,323,Greg Stiemsma,BOS,55,766,161,66,121,54.5,0,0,0.0,29,41,70.7,48,129,177,28,37,85,33,144,388,0.85,1.12
323,324,Kurt Thomas,POR,53,803,160,73,157,46.5,0,0,0.0,14,20,70.0,39,149,188,46,24,31,31,123,328,1.48,0.77
324,325,Cartier Martin,WAS,17,391,158,59,134,44.0,29,75,38.7,11,19,57.9,12,46,58,10,11,2,13,35,143,0.77,0.85
325,326,Craig Smith,POR,47,464,156,59,117,50.4,0,1,0.0,38,53,71.7,33,77,110,19,16,5,24,55,209,0.79,0.67
326,327,Chris Wilcox,BOS,28,481,152,64,107,59.8,0,0,0.0,24,39,61.5,38,84,122,12,11,9,30,64,218,0.4,0.37
327,328,Cory Higgins,CHA,38,423,150,52,160,32.5,4,20,20.0,42,60,70.0,7,28,35,36,5,6,39,40,67,0.92,0.13
328,329,Earl Watson,UTA,50,1033,149,54,160,33.8,10,52,19.2,31,46,67.4,30,91,121,217,54,22,85,105,357,2.55,0.64
329,330,DeShawn Stevenson,NJN,51,960,148,49,172,28.5,41,145,28.3,9,16,56.3,7,94,101,41,19,4,19,59,164,2.16,1.0
330,331,Matt Carroll,CHA,53,596,142,52,157,33.1,8,43,18.6,30,38,78.9,8,50,58,38,16,7,24,52,124,1.58,0.67
331,332,Reggie Jackson,OKC,45,501,140,51,159,32.1,13,62,21.0,25,29,86.2,14,39,53,71,25,1,36,31,142,1.97,0.69
332,333,Josh McRoberts,LAL,50,718,138,56,118,47.5,3,7,42.9,23,36,63.9,61,110,171,51,15,18,31,74,287,1.65,0.48
333,334,Jamaal Tinsley,UTA,37,507,137,57,141,40.4,10,37,27.0,13,17,76.5,6,39,45,123,17,8,52,47,190,2.37,0.33
334,335,Al Horford,ATL,11,348,136,57,103,55.3,0,1,0.0,22,30,73.3,26,51,77,24,10,14,16,21,191,1.5,0.63
335,335,Andrew Bogut,MIL,12,364,136,61,136,44.9,0,1,0.0,14,23,60.9,22,78,100,31,12,24,24,36,195,1.29,0.5
336,337,Darko Milicic,MIN,29,472,134,59,130,45.4,0,0,0.0,16,37,43.2,35,62,97,17,9,25,32,59,158,0.53,0.28
337,338,Eric Bledsoe,LAC,40,464,132,49,126,38.9,6,30,20.0,28,44,63.6,22,43,65,66,31,14,47,58,168,1.4,0.66
338,339,Jonny Flynn,POR,29,416,131,46,131,35.1,10,34,29.4,29,39,74.4,8,31,39,96,6,2,36,23,143,2.67,0.17
339,339,Ronnie Price,PHX,36,517,131,49,130,37.7,13,44,29.5,20,25,80.0,18,38,56,67,34,3,46,72,159,1.46,0.74
340,339,Ryan Hollins,BOS,39,522,131,46,84,54.8,0,0,0.0,39,75,52.0,34,48,82,9,5,17,35,78,135,0.26,0.14
341,342,Mehmet Okur,NJN,17,454,130,52,139,37.4,23,72,31.9,3,5,60.0,22,59,81,30,9,5,25,45,141,1.2,0.36
342,343,Jeremy Pargo,MEM,44,424,126,50,150,33.3,10,38,26.3,16,27,59.3,12,25,37,55,15,0,46,46,76,1.2,0.33
343,344,Jermaine O'Neal,BOS,25,570,125,52,120,43.3,0,0,0.0,21,31,67.7,37,98,135,10,8,43,21,80,222,0.48,0.38
344,345,Earl Clark,ORL,45,559,123,51,139,36.7,0,0,0.0,21,29,72.4,35,89,124,18,12,32,25,72,188,0.72,0.48
345,346,Marquis Daniels,BOS,38,484,121,52,143,36.4,0,10,0.0,17,23,73.9,16,50,66,47,21,9,28,36,139,1.68,0.75
346,347,Sasha Pavlovic,BOS,45,527,120,50,128,39.1,17,58,29.3,3,8,37.5,4,68,72,18,20,15,20,54,142,0.9,1.0
347,348,Maurice Evans,WAS,24,343,117,45,112,40.2,17,45,37.8,10,13,76.9,8,16,24,9,14,0,10,36,84,0.9,1.4
348,349,Jordan Hamilton,DEN,26,258,115,48,111,43.2,17,47,36.2,2,5,40.0,11,51,62,20,4,3,16,15,122,1.25,0.25
349,350,JaJuan Johnson,BOS,36,298,114,54,121,44.6,0,0,0.0,6,9,66.7,20,38,58,6,5,14,14,25,113,0.43,0.36
350,350,Sam Young,PHI,35,375,114,45,127,35.4,5,17,29.4,19,26,73.1,20,42,62,15,17,6,16,23,109,0.94,1.06
351,352,Shawne Williams,NJN,25,514,113,42,147,28.6,21,87,24.1,8,11,72.7,20,48,68,16,10,11,13,44,97,1.23,0.77
352,353,E'Twaun Moore,BOS,38,331,110,43,113,38.1,17,45,37.8,7,7,100.0,4,29,33,34,11,3,21,33,100,1.62,0.52
353,353,Rasual Butler,TOR,34,453,110,41,133,30.8,21,77,27.3,7,12,58.3,6,60,66,19,7,5,15,39,95,1.27,0.47
354,355,Jimmy Butler,CHI,42,359,109,32,79,40.5,2,11,18.2,43,56,76.8,23,33,56,14,11,5,14,20,121,1.0,0.79
355,356,Jerry Stackhouse,ATL,30,273,108,37,100,37.0,13,38,34.2,21,23,91.3,6,17,23,14,10,3,13,12,80,1.08,0.77
356,357,DeMarre Carroll,UTA,24,348,107,43,105,41.0,7,19,36.8,14,16,87.5,28,25,53,18,12,1,11,37,116,1.64,1.09
357,358,Dexter Pittman,MIA,35,301,106,44,94,46.8,0,0,0.0,18,28,64.3,27,44,71,9,8,8,17,73,125,0.53,0.47
358,358,Lance Stephenson,IND,42,442,106,47,125,37.6,4,30,13.3,8,17,47.1,12,41,53,46,21,5,36,30,108,1.28,0.58
359,360,Reggie Evans,LAC,56,771,104,34,72,47.2,0,0,0.0,36,71,50.7,100,171,271,17,31,6,44,118,312,0.39,0.7
360,361,Mike Bibby,NYK,39,557,103,35,124,28.2,27,85,31.8,6,8,75.0,5,54,59,80,21,3,20,45,155,4.0,1.05
361,362,Josh Childress,PHX,34,491,100,48,99,48.5,4,24,16.7,0,2,0.0,31,64,95,34,14,6,9,38,187,3.78,1.56
362,363,Semih Erden,CLE,28,333,99,39,74,52.7,0,0,0.0,21,41,51.2,20,52,72,9,10,5,16,60,124,0.56,0.63
363,364,James Singleton,WAS,12,262,98,41,75,54.7,2,9,22.2,14,15,93.3,25,56,81,15,9,8,10,27,166,1.5,0.9
364,365,Devin Ebanks,LAL,24,396,97,37,89,41.6,0,9,0.0,23,35,65.7,26,28,54,12,11,6,18,26,98,0.67,0.61
365,366,Brook Lopez,NJN,5,136,96,38,77,49.4,0,0,0.0,20,32,62.5,8,10,18,6,1,4,6,8,68,1.0,0.17
366,367,Charlie Villanueva,DET,13,180,91,35,91,38.5,15,45,33.3,6,7,85.7,9,39,48,6,7,5,7,25,93,0.86,1.0
367,368,Dominique Jones,DAL,33,268,88,29,73,39.7,1,8,12.5,29,37,78.4,9,35,44,42,10,5,28,28,109,1.5,0.36
368,368,Elliot Williams,POR,24,149,88,37,74,50.0,8,27,29.6,6,18,33.3,7,12,19,6,6,3,5,18,68,1.2,1.2
369,370,Ben Wallace,DET,62,980,85,34,86,39.5,1,4,25.0,16,47,34.0,81,188,269,43,47,51,34,60,378,1.26,1.38
370,371,Walker Russell,DET,28,357,84,33,95,34.7,4,13,30.8,14,22,63.6,7,19,26,58,18,1,33,29,84,1.76,0.55
371,372,Ben Uzoh,TOR,18,370,81,35,99,35.4,0,1,0.0,11,19,57.9,19,48,67,61,17,3,19,31,138,3.21,0.9
372,372,Brian Cook,WAS,32,276,81,31,98,31.6,10,50,20.0,9,10,90.0,10,53,63,10,6,5,11,48,86,0.91,0.55
373,374,Bobby Simmons,LAC,28,418,80,28,90,31.1,20,60,33.3,4,7,57.1,17,38,55,11,15,3,10,41,89,1.1,1.5
374,374,Terrel Harris,MIA,22,318,80,29,83,34.9,8,39,20.5,14,21,66.7,18,33,51,26,9,2,25,34,82,1.04,0.36
375,376,Andris Biedrins,GSW,47,739,79,39,64,60.9,0,0,0.0,1,9,11.1,45,131,176,16,23,45,14,125,292,1.14,1.64
376,376,Yi Jianlian,DAL,30,203,79,31,82,37.8,3,10,30.0,14,21,66.7,12,37,49,5,7,8,14,23,76,0.36,0.5
377,378,Wilson Chandler,DEN,8,215,75,31,79,39.2,3,12,25.0,10,12,83.3,6,35,41,17,6,6,18,18,77,0.94,0.33
